,Comment,KOREAN / ÇÑ±¹¾î,ENGLISH,JAPANESE / ìíÜâåŞ,SIMPLIFIED CHINESE / ??ñéÙş,TRADITIONAL CHINESE / Ûåô÷ñéÙş,GERMAN / DEUTSCH,SPANISH / ESPANOL,PORTUGUESE / PORTUGUES (BR),RUSSIAN / ¬²¬µ¬³¬³¬¬¬ª¬«,POLISH / POLSKI,FRENCH / FRANCAIS
tutorial/dialouge/inventory/TutorialWitch/0/5,,Áö³­¹ø¿¡ ¿ë»ç¿¡°Ô ´çÇÑ ºÎ»óÀ» Ä¡·áÇÏ´Â °Í¸¸À¸·Îµµ ¹÷Â÷±º¿ä.,Treating the wounds from the First Hero's previous attack is already too much.,ĞÑªÏé¸íºª«ªéªÎİ¶ß¿ªòö½Öûª¹ªëªÀª±ªÇªââ¢ª´ªïª¤ªÇª¹ªÍ¡£,Ó£ß¾ó­ù¬é¸ŞÍöè?ı¨£¬?î¤??å¥?êóö½êï¡£,Ó£ÎÃé©ö½Öûß¾ó­é¸ŞÍğãà÷îÜß¿Ï¢ö¦?ıŞÕôÖõ¡£,"Am liebsten mochte ich einen riesigen Meteor auf Schloss Carleon fallen lassen,\naber ich brauche meine Kraft, um mich von den Wunden des Helden zu erholen.",con recuperarnos del anterior ataque del primer heroe nos basta.,Tratar as feridas do ataque anterior do Primeiro Heroi ja e demais.,"¬İ¬Ö¬é¬Ö¬ß¬Ú¬Ö ¬â¬Ñ¬ß, ¬ß¬Ñ¬ß¬Ö¬ã¬Ö¬ß¬ß¬í¬ç ¬±¬Ö¬â¬Ó¬í¬Ş ¬Ô¬Ö¬â¬à¬Ö¬Ş, ? ¬ï¬ä¬à ¬å¬Ø¬Ö ¬ã¬İ¬Ú¬ê¬Ü¬à¬Ş ¬Ş¬ß¬à¬Ô¬à ¬â¬Ñ¬Ò¬à¬ä¬í.",Leczenie ran po pierwszym ataku Pierwszego Bohatera zupe©©nie wystarczy.,Guerir les blesses a la suite de l'attaque du premier heros me prend deja toute mon energie.
tutorial/dialouge/inventory/TutorialWitch/0/6,,¾îÂ¿ ¼ö ¾øÀÌ ´ç½Å¿¡°Ô ¸¶¿Õ´ÔÀÇ ±¸ÃâÀ» ºÎÅ¹µå·Á¾ß ÇÒ °Í °°½À´Ï´Ù.,I have no other choice but to ask you to rescue the Demon King.,ªÉª¦ª·ªèª¦ªâªÊª¯ª¢ªÊª¿ªËØªèİ?ªÎÏ­õóªòªªêÃª¤ª·ªÊª±ªìªĞªÊªéªÊª¤ªèª¦ªÇª¹¡£,??Ûö£¬ñşÒöÛÈöõ?ËÛÏ­ØªèİÓŞìÑÖõ¡£,ä²û¿ßÀñşÒöÛÈöş?Ï­ØªèİÓŞìÑÖõ¡£,"Ich muss dich bitten, Seine Majestat zu retten.",No me queda otra que pedirte que rescates al rey demonio.,Eu nao tenho outra escolha senao pedir-lhe para resgatar o Rei Demonio.,"¬µ ¬Ş¬Ö¬ß¬ñ ¬ß¬Ö¬ä ¬Õ¬â¬å¬Ô¬à¬Ô¬à ¬Ó¬í¬Ò¬à¬â¬Ñ, ¬ñ ¬Õ¬à¬İ¬Ø¬ß¬Ñ ¬á¬â¬à¬ã¬Ú¬ä¬î ¬ä¬Ö¬Ò¬ñ ¬ã¬á¬Ñ¬ã¬ä¬Ú ¬Ü¬à¬â¬à¬İ¬ñ ¬Õ¬Ö¬Ş¬à¬ß¬à¬Ó.","Nie mam wyboru, musz? ci? prosi? o ratunek dla Krola Demonow.",Je n'ai pas d'autre choix que de te demander de sauver le Roi-demon.
tutorial/dialouge/inventory/TutorialWitch/0/7,,´ç½ÅÃ³·³ ÀÛÀº ½ºÄÌ·¹Åæ °æºñº´¿¡°Ô ÀÌ·± ¹«¸®ÇÑ ºÎÅ¹À» µå·Á¾ß ÇÏ´Â »óÈ²ÀÌ ¿À´Ù´Ï...,I can't believe I'm asking this much from such a small skeleton guard...,ª¢ªÊª¿ªÎªèª¦ªËá³ªµª¤«¹«±«ë«È«óÌíİáÜ²ªËª³ªóªÊÙí×âªÊªªêÃª¤ªòª·ªÊª±ªìªĞªÊªéªÊª¤ª³ªÎ?üÏª¬?Ò·ªÇª¹ª¬¡¦,ÌåæÔØü?ÖõÜôÔğÜôÛÈöõ???îÜá³??Ìí?Ü²îÜï×?¡¦¡¦,ä²ËÜæÔÔğÛÈöş?îÏğúá³??ÌíêÛÜ²îÏ??ÑñîÜŞÀ¡¦,"Ich trage dir diese Aufgabe nur widerwillig auf, da du noch so jung und klein bist,\naber es scheint, als bleibt mir keine andere Wahl.",No puedo creerme que le este pidiendo algo asi a un guardia esqueleto...,Eu nao posso acreditar que eu estou pedindo tudo isso a guarda esqueleto tao pequeno...,"¬±¬à¬Ó¬Ö¬â¬Ú¬ä¬î ¬ß¬Ö ¬Ş¬à¬Ô¬å, ¬é¬ä¬à ¬á¬â¬Ú¬ç¬à¬Õ¬Ú¬ä¬ã¬ñ ¬ã¬ä¬Ñ¬Ó¬Ú¬ä¬î ¬ä¬Ñ¬Ü¬å¬ğ ¬à¬Ô¬â¬à¬Ş¬ß¬å¬ğ ¬Ù¬Ñ¬Õ¬Ñ¬é¬å ¬á¬Ö¬â¬Ö¬Õ ¬ä¬Ñ¬Ü¬Ú¬Ş ¬Ş¬Ñ¬İ¬Ö¬ß¬î¬Ü¬Ú¬Ş ¬ã¬Ü¬Ö¬İ¬Ö¬ä¬à¬Ş.","Trudno uwierzy?, ?e oczekuj? a? tyle od ma©©ego stra?nika-szkieletu...",Je n'arrive pas a croire je dois confier une mission aussi importante a un petit garde squelette...
tutorial/dialouge/inventory/TutorialWitch/0/8,,"°¡¼­ ¸¶¿Õ´Ô°ú ÀÇ¿ø´Ôµé, ±×¸®°í ¸¶Á· µ¿Æ÷µéÀ» ±¸ÇØÁÖ¼¼¿ä.","Please go and save the Demon King, our officials, and our demon friends.",ú¼ªÃªÆØªèİ?ªÈì¡ê¬ª¿ªÁ¡¢ª½ª·ªÆØªğéªÎñêÊàª¿ªÁªòğ¾ª±ªÆª¯ªÀªµª¤¡£,ËÛñõÏ­ØªèİÓŞìÑûú???£¬ì¤ĞàØªğéÔÒøà??¡£,ôë?ËÛñõÏ­ØªèİÓŞìÑ¡¢ì¡ê¬ÙúĞàØªğéÔÒøàÙú¡£,"Bitte rette Seine Majestat, die Senatoren und andere unserer Art.\nUnd finde heraus, warum die Menschen uns auf einmal vernichten wollen.","Por favor, ve y salva al rey demonio, a nuestros oficiales y a nuestros amigos demonios.","Por favor, va e salve o Rei Demonio, nossos oficiais e nossos amigos demonios.","¬±¬â¬à¬ê¬å, ¬ã¬á¬Ñ¬ã¬Ú ¬Ü¬à¬â¬à¬İ¬ñ ¬Õ¬Ö¬Ş¬à¬ß¬à¬Ó, ¬à¬æ¬Ú¬è¬Ö¬â¬à¬Ó ¬Ú ¬Õ¬â¬å¬Ô¬Ú¬ç ¬Õ¬Ö¬Ş¬à¬ß¬à¬Ó.","B©©agam, ratuj Krola Demonow, naszych dygnitarzy i przyjacio©© demonow.",Mais je compte sur toi pour sauver le Roi-demon et nos allies.
tutorial/dialouge/inventory/TutorialWitch/0/9,,ÀÌ°É ¹ŞÀ¸¼¼¿ä.,Take this.,ª³ªìªòáôª±ö¢ªÃªÆª¯ªÀªµª¤¡£,ÑÚß¾??¡£,ôëâ¥ù»îÏËÁ¡£,Nimm das hier.,Coge esto.,Toma isso.,"¬£¬à¬ä, ¬Ó¬à¬Ù¬î¬Ş¬Ú.",We? to!,"Tiens, prends ca."
tutorial/dialouge/inventory/TutorialWitch/1/0,,Â÷¿ø ¸¶¹ıÀ» ´ãÀº µÎ·ç¸¶¸®ÀÔ´Ï´Ù. ¿©Çà Áß ¹ß°ßÇÑ ¹°°ÇÀ» º¸°üÇÒ ¼ö ÀÖ¾î µµ¿òÀÌ µÉ °Ì´Ï´Ù.,It's a scroll containing a dimensional spell. It can help you store objects that you find during your journey.,ó­êªªÎØªÛöªò?ªáª¿?ÚªªÇª¹¡£ ÕéñéªË?Ì¸ª·ª¿ÚªªòÜÁÎ·ª¹ªëª³ªÈª¬ªÇª­ªÆæµªËØ¡ªÄªÈŞÖª¤ªŞª¹¡£,ãÀ?êóó­êªØªÛöîÜÏé?¡£Ê¦ì¤?î¤ÕéÔ²ñé??îÜÚªù¡ÜÁÎ·î¤?×ì?¡£,îÏãÀè³ùßó­êªØªÛöîÜÏéõî£¬Ê¦ì¤éÄÕÎÜÁÎ·ÕéÔ²ñéÛ¡úŞîÜÚªù¡£¬üåÓß?êó?ğ¾îÜ¡£,"Diese Schriftrolle ist von Dimensionsmagie erfullt. In ihr kannst du Gegenstande aufbewahren, die du auf deiner Reise findest.",Es un pergamino con un hechizo dimensional. Te permitira almacenar los objetos que encuentres en tu viaje.,E um pergaminho que contem um feitico dimensional. Isso pode ajudar voce a armazenar objetos que encontra durante sua viagem.,"¬¿¬ä¬à ¬ã¬Ó¬Ú¬ä¬à¬Ü ¬ã ¬â¬Ñ¬ã¬ê¬Ú¬â¬ñ¬ğ¬ë¬Ú¬Ş ¬Ù¬Ñ¬Ü¬İ¬Ú¬ß¬Ñ¬ß¬Ú¬Ö¬Ş. ¬°¬ß ¬á¬à¬Ù¬Ó¬à¬İ¬Ú¬ä ¬Ò¬â¬Ñ¬ä¬î ¬ã ¬ã¬à¬Ò¬à¬Û ¬Ó¬Ö¬ë¬Ú, ¬Ü¬à¬ä¬à¬â¬í¬Ö ¬ä¬í ¬ß¬Ñ¬Û¬Õ¬Ö¬ê¬î ¬á¬à ¬á¬å¬ä¬Ú.",To zwoj zawieraj?cy zakl?cie wymiarowe. Pomo?e przechowywa? przedmioty znalezione po drodze.,C'est un parchemin contenant un sort dimensionnel. Il t'aidera a stocker les objets que tu trouveras durant ton voyage.
tutorial/dialouge/inventory/TutorialWitch/1/1,,"<key=""inventory"">¸¦ ´­·¯ È¹µæÇÑ ¹°°ÇÀ» È®ÀÎÇÒ ¼ö ÀÖ½À´Ï´Ù.","Press the <key=""inventory""> to check the items you've acquired.","<key=""inventory"">ªòäãª·ªÆÔğª¿ù¡Úªª¬ü¬ìãªÇª­ªŞª¹¡£","Ê¦ì¤äÎ<key=""inventory"">????ÔğîÜÚªù¡¡£","ïÇÌª<key=""inventory"">Ê¦ü¬ìãüòÔğîÜÚªù¡¡£","Drucke <key=""inventory"">, um nachzusehen, welche Gegenstande du bei dir tragst.","Pulsa <key=""inventory""> para ver los objetos que tienes.","Pressione <key=""inventory""> para conferir os itens que voce adquiriu.","¬¯¬Ñ¬Ø¬Ş¬Ú¬ä¬Ö <key=""inventory"">, ¬é¬ä¬à¬Ò¬í ¬á¬à¬ã¬Ş¬à¬ä¬â¬Ö¬ä¬î ¬ã¬Ó¬à¬Ú ¬Ó¬Ö¬ë¬Ú.","Aby obejrze? zdobyte przedmioty, naci?nij <key=""inventory"">.","Appuie sur <key=""inventory""> pour consulter les objets en ta possession."
tutorial/dialouge/inventory/TutorialWitch/1/2,,±×·³ ´Ù³à¿Àµµ·Ï ÇÏ¼¼¿ä. ½ºÄÃ. ¸öÁ¶½ÉÇØ¿ä.,"Go now, Skul. Stay safe.",ª½ªìª¸ªã¡¢ú¼ªÃªÆªéªÃª·ªãª¤¡¢«¹«««ë¡£ªª?ªòªÄª±ªÆ¡£,Ñá?î¤ö¦õó??¡£á³Íé£¬ñ¼ëòäÌîï¡£,Ñá?ËÛ?£¬ÍµÍé£¬á³ãıìéïÇ¡£,Ich wunsche dir eine gute Reise.,"Parte ya, Skul, y ten cuidado.","Agora va, Skul. Fique seguro.","¬¡ ¬ä¬Ö¬á¬Ö¬â¬î ¬Ú¬Õ¬Ú, ¬³¬Ü¬Ñ¬İ. ¬¢¬Ö¬â¬Ö¬Ô¬Ú ¬ã¬Ö¬Ò¬ñ.","Id? ju?, Skulu. Uwa?aj na siebie.","Maintenant pars, Skul, et prends soin de toi."
# Mastery,,,,,,,,,,,,
tutorial/dialogue/mastery/TutorialWitch/0/0,,"½ºÄÃ, ÀÌ ÀÌ¾ß±â¸¦ ²À ÀüÇØÁÖ¾î¾ß ÇÒ °Í °°¾Æ¿ä.","Skul, I really think I have to tell you this.",«¹«««ë¡¢ª³ªÎü¥ªòãÀŞª?ª¨ªÆª¯ªÀªµª¤¡£,á³Íé£¬ä²?ÔğìéïÒé©Í±???ŞÁÍºŞÀ¡£,ÍµÍé£¬ä²ŞªÔğÍ±áÍ?îÏËÁÍºŞÀî¦ú¼¡£,"Skul, Ich glaube wirklich ich muss dir das sagen.","Skul, creo que deberia contarte algo.","Skul, eu realmente acho que tenho que lhe dizer isto.","¬³¬Ü¬Ñ¬İ, ¬ñ ¬Õ¬à¬İ¬Ø¬ß¬Ñ ¬ä¬Ö¬Ò¬Ö ¬Ü¬à¬Ö ¬à ¬é¬Ö¬Ş ¬â¬Ñ¬ã¬ã¬Ü¬Ñ¬Ù¬Ñ¬ä¬î.","Skulu, musz? ci co? powiedzie?.","Skul, j'ai quelque chose a te dire."
tutorial/dialogue/mastery/TutorialWitch/0/1,,"Áö³­¹ø¿¡ ¿ë»çÀÇ ½À°İÀ» ¹Ş¾Ò´ø ³¯, ±â¾ï³ª½Ã³ª¿ä?","The day the First Hero attacked us, do you remember?",ª³ªÎîñªÎé¸íºªÎã©?ª¬ª¢ªÃª¿ìíªÎª³ªÈ¡¢?ª¨ªÆªŞª¹ª«£¿,??Ôğß¾ó­ù¬é¸ŞÍ??îÜÑáô¸?£¿,?ü½ÑÀÔğß¾ó­áôÓğé¸ŞÍã©ÌªîÜÑáô¸?£¿,"Erinnerst du dich an den Tag, an dem der Erste Held uns angriff?",¢¯Te acuerdas del dia que nos ataco el primer heroe?,"O dia em que o Primeiro Heroi nos atacou, voce se lembra?",¬±¬à¬Ş¬ß¬Ú¬ê¬î ¬Õ¬Ö¬ß¬î ¬Ñ¬ä¬Ñ¬Ü¬Ú ¬±¬Ö¬â¬Ó¬à¬Ô¬à ¬Ô¬Ö¬â¬à¬ñ?,"Pami?tasz dzie?, gdy zaatakowa©© nas Pierwszy Bohater?",Tu te souviens du jour ou le premier heros a lance son offensive ?
tutorial/dialogue/mastery/TutorialWitch/0/2,,¿À¿ì°Å°¡ °ËÀº µ¹ÀÇ Èû¿¡ Á¶Á¾´çÇØ¼­ ÀúÈñ¸¦ °ø°İÇß¾úÁÒ.,"The ogre attacked us, controlled by a dark stone.",«ª?«¬ª¬?ª¤à´ªÎÕôªËğÃªéªìªÆŞçª¿ªÁªòÍô?ª·ªŞª·ª¿ªèªÍ¡£,ãİìÑØªù¬ıÙßäà´?îÜÕôÕáğÃ?Íô?Öõä²?¡£,ãİìÑØªë¦åÚıÙà´îÜÕôÕáì»ğäÓğîØìÑğÃÍó£¬ì×ó®ÍôÌªä²Ùú?£¿,"Der Oger, der von einem dunklen Stein beherrscht wurde, griff uns an.","El ogro nos ataco, controlado por una piedra oscura.","Os ogros nos atacaram, controlados por uma pedra negra.","¬°¬Ô¬â ¬ß¬Ñ¬á¬Ñ¬İ ¬ß¬Ñ ¬ß¬Ñ¬ã, ¬Ò¬å¬Õ¬å¬é¬Ú ¬Ù¬Ñ¬é¬Ñ¬â¬à¬Ó¬Ñ¬ß¬ß¬í¬Ş ¬ä¬Ö¬Ş¬ß¬í¬Ş ¬Ü¬Ñ¬Ş¬ß¬Ö¬Ş.",Wyskoczy©© na nas ogr sterowany przez czarny kamie?.,L'ogre controle par une pierre noire nous a attaques...
tutorial/dialogue/mastery/TutorialWitch/0/3,,´«Ä¡Ã¤¼Ì°ÚÁö¸¸ ±×°Ç Æò¹üÇÑ °ËÀº µ¹ÀÌ ¾Æ´Ï¿¡¿ä. ½ºÄÃ. ±× µ¹ÀÇ Á¸Àç¸¦ ¾Æ´Â »ç¶÷µéÀº ÀÏ¹İÀûÀ¸·Î ÀÌ·¸°Ô ºÎ¸¥´ä´Ï´Ù.,"You'd know by now, but that was no regular stone. Skul, the people who know about those stones call them...",ªâª¦ªª?ªÅª­ª«ªÈŞÖª¤ªŞªÃª¹ª¬¡¢ª¢ªìªÏÜÅ÷×ªÎ?ª¤à´ªÇªÏª¢ªêªŞª»ªó¡£«¹«««ë¡¢ª¢ªÎà´ªÎğíî¤ªòò±ªÃªÆª¤ªëìÑª¿ªÁªÏìéÚõîÜªËª³ª¦û¼ªÓªŞª¹¡£,???å¥??Öõ£¬ÑáÜôãÀÜÅ÷×îÜıÙßäà´?¡£á³Íé£¬ò±Ô³??à´?ğíî¤îÜìÑìéÚõ?Ğ£?¡¦¡¦,?ëëú±êóÛ¡úŞ£¬ÑáÜôãÀìéÚõîÜıÙà´¡£ÍµÍé£¬ò±Ô³ÑáËÁà´ÔéîÜìÑ÷×ßÈöà??¡¦,"Inzwischen wei©¬t du, dass es kein normaler Stein war. Skul, die Leute die von diesen Steinen wissen, nennen sie...","Imagino que ya lo sabras, pero no era una piedra normal. Skul, la gente que conoce esas piedras las llama...","Isso voce ja saberia, mas essa nao era nenhuma pedra normal. Skul, as pessoas que sabem sobre essas pedras as chamam...","¬´¬í, ¬ß¬Ñ¬Ó¬Ö¬â¬ß¬à¬Ö, ¬å¬Ø¬Ö ¬Ù¬ß¬Ñ¬Ö¬ê¬î ? ¬ï¬ä¬à ¬Ò¬í¬İ ¬ß¬Ö¬à¬Ò¬í¬é¬ß¬í¬Û ¬Ü¬Ñ¬Ş¬Ö¬ß¬î. ¬³¬Ü¬Ñ¬İ, ¬İ¬ğ¬Õ¬Ú, ¬Ü¬à¬ä¬à¬â¬í¬Ş ¬Ú¬Ù¬Ó¬Ö¬ã¬ä¬ß¬à ¬à ¬ä¬Ñ¬Ü¬Ú¬ç ¬Ü¬Ñ¬Ş¬ß¬ñ¬ç, ¬ß¬Ñ¬Ù¬í¬Ó¬Ñ¬ğ¬ä ¬Ú¬ç...","Pewnie ju? rozumiesz, ?e to nie by©© zwyczajny kamie?. Skul, ludzie, ktorzy znaj? te kamienie, nazywaj? je¡¦","Tu dois deja le savoir, mais ce n'etait pas une pierre ordinaire. Skul, ceux qui connaissent le pouvoir de ces pierres les appellent..."
tutorial/dialogue/mastery/TutorialWitch/0/4,,¸¶¼®...,Dark Quartz...,Øªà´¡¦,Øªà´¡¦¡¦,Øªà´¡¦,dunkle Quarze...,Cuarzo oscuro...,Quartzo negro...,¬´¬Ö¬Ş¬ß¬í¬Û ¬Ü¬Ó¬Ñ¬â¬è...,Czarnym Kryszta©©em...,Le quartz noir...
tutorial/dialogue/mastery/TutorialWitch/0/5,,¸¶¼®Àº ¾öÃ»³­ ÈûÀ» °¡Á³¾î¿ä.  Ä®·¹¿Â¿¡¼­´Â ¸¶¼®À» ±º»çÀûÀÎ ¸ñÀûÀ¸·Î »ç¿ëÇÏ°í ÀÖ´Â °Í °°½À´Ï´Ù.,Dark Quartz carry unimaginable power. It seems like Carleon is using them for military purposes.,Øªà´ªÏô¢ªŞª¸ª¤Õôªòò¥ªÃªÆª¤ªŞª¹¡£««?«ê«¢«óªÇªÏØªà´ªòÏÚŞÀîÜªÊÙÍîÜªÇŞÅªÃªÆª¤ªëªèª¦ªÇª¹¡£,Øªà´?êóŞªßÈË­ÓŞîÜÕôÕá¡£?××ëÚû¿ßÀ?Øªà´éÄî¤?ŞÀéÄÔ²¡£,Øªà´è¶êóÌóìÑîÜÕôÕá£¬ÑáãÁØªà´î¤?×Ãû¿ßÀãÀéÄåÚÏÚŞÀéÄÔ²¡£,Dunkler Quarz kann unvorstellbare Krafte haben. Es scheint als wurde Carleon ihn fur militarische Zwecke nutzen.,El cuarzo oscuro tiene un poder inimaginable. Parece que Carleon lo esta usando para sus propositos militares.,O Quartzo negro carrega poderes inimaginaveis. Parece que Carleon esta usando o Quartzo negro para fins militares.,"¬£ ¬ä¬Ö¬Ş¬ß¬à¬Ş ¬Ü¬Ó¬Ñ¬â¬è¬Ö ¬Ù¬Ñ¬Ü¬İ¬ğ¬é¬Ö¬ß¬Ñ ¬ß¬Ö¬Ó¬Ö¬â¬à¬ñ¬ä¬ß¬Ñ¬ñ ¬ã¬Ú¬İ¬Ñ. ¬±¬à¬ç¬à¬Ø¬Ö, ¬¬¬Ñ¬â¬İ¬Ö¬à¬ß ¬Ú¬ã¬á¬à¬İ¬î¬Ù¬å¬Ö¬ä ¬Ö¬Ô¬à ¬Ó ¬Ó¬à¬Ö¬ß¬ß¬í¬ç ¬è¬Ö¬İ¬ñ¬ç.","Czarny Kryszta©© ma niewyobra?aln? moc. Wygl?da na to, ?e Carleon u?ywa go do celow militarnych.",Ce quartz noir contient une puissance inimaginable. On dirait que Caerleon l'utilise a des fins militaires.
tutorial/dialogue/mastery/TutorialWitch/0/6,,±×µéÀÌ ¸¶¼®ÀÇ ÈûÀ» Á¦´ë·Î ÀÌ¿ëÇÑ´Ù¸é ¸¶¿Õ¼º »Ó¸¸ ¾Æ´Ï¶ó ÀÌ ÇÏ¸ğ´Ï¾Æ ´ë·ú¿¡ Å©³ªÅ« À§ÇèÀ» ºÒ·¯¿Ã °Ì´Ï´Ù.,"Once they begin to fully use Dark Quartz, they will bring danger not only to the Demon King Castle but to the whole continent of Harmonia.",ù¨ªéª¬Øªà´ªÎÕôªòªÁªãªóªÈŞÅª¦ªÈª¿ªé¡¢ØªèİàòªÀª±ª¸ªãªÊª¯¡¢ª³ªÎ«Ï?«â«Ë«¢ÓŞ×ÁªËÓŞª­ªÊêË?ªòªâª¿ªéª¹ªÇª·ªçª¦¡£,Ø²ìéöâ?ŞÅéÄØªà´?ïáîÜÕôÕá£¬Üô?ãÀØªèİàò£¬ä¤ò¸ïÚ?ùëØ°Òù?ÓŞ?Ô´?áôÓğñìÓŞêÎ?¡£,åıÍıöâÙúôËî¼××éÄØªà´îÜÕôÕá£¬ÜôĞÁÓßØªèİàò£¬ü½üåÓßùëØ¤Òùä¬ÓŞ×ÁÓáÕÎĞ¿ÓŞêËúÏ¡£,"Sobald sie damit beginnen, den dunklen Quarz ganzlich zu verwenden, wird das nicht nur eine Gefahr fur das Schloss des Damonenkonigs sondern auch den ganzen Kontinent Harmonia bergen.","Cuando empiecen a usar el cuarzo oscuro plenamente, no solo supondran un peligro para el castillo del rey demonio, sino para todo el continente de Harmonia.","Assim que comecem a usar o Quartzo negro na sua plenitude, eles vao colocar em perigo, nao so o Castelo do Rei Demonio, como tambem todo o continente de Harmonia.","¬¦¬ã¬İ¬Ú ¬İ¬ğ¬Õ¬Ú ¬ß¬Ñ¬é¬ß¬å¬ä ¬Ú¬ã¬á¬à¬İ¬î¬Ù¬à¬Ó¬Ñ¬ä¬î ¬ã¬Ú¬İ¬å ¬ä¬Ö¬Ş¬ß¬à¬Ô¬à ¬Ü¬Ó¬Ñ¬â¬è¬Ñ ¬ß¬Ñ ¬á¬à¬İ¬ß¬å¬ğ ¬Ü¬Ñ¬ä¬å¬ê¬Ü¬å, ¬à¬ß¬Ú ¬á¬à¬ã¬ä¬Ñ¬Ó¬ñ¬ä ¬á¬à¬Õ ¬å¬Ô¬â¬à¬Ù¬å ¬ß¬Ö ¬ä¬à¬İ¬î¬Ü¬à ¬Ù¬Ñ¬Ş¬à¬Ü ¬Ü¬à¬â¬à¬İ¬ñ ¬Õ¬Ö¬Ş¬à¬ß¬à¬Ó, ¬ß¬à ¬Ú ¬Ó¬Ö¬ã¬î ¬Ü¬à¬ß¬ä¬Ú¬ß¬Ö¬ß¬ä ¬¤¬Ñ¬â¬Ş¬à¬ß¬Ú¬Ú.","Gdy zaczn? w pe©©ni wykorzystywa? Czarny Kryszta©©, zagro?? nie tylko Zamkowi Krola Demonow, ale ca©©emu kontynentowi Harmonii.","Lorsqu'il le maitrisera, il representera un danger non seulement pour le chateau du roi-demon, mais aussi pour le continent d'Harmonia..."
tutorial/dialogue/mastery/TutorialWitch/0/7,,"¿îÀÌ ÁÁ°Ôµµ ¾ÆÁ÷Àº Ä®·¹¿Â ¸¶¹ı»çµéÀÌ ±× ÈûÀ» ¿ÂÀüÈ÷ »ç¿ëÇÏÁö ¸øÇÏ´Â °Í °°Áö¸¸, ±×µé¿¡°Ô ½Ã°£À» ´õ ÁÖ¾î¼­´Â ¾ÈµÅ¿ä.","Luckily, the Carleon mages aren't capable of using the power of Dark Quartz at its full potential. But we can't spare them any more time.",ú¹ª¤¡¢ªŞªÀ««?«ê«¢«óªÎØªÛöŞÅª¤ªÏª½ªÎÕôªòª¹ªÙªÆŞÅéÄª¹ªëª³ªÈªÏªÇª­ªÊª¤ªßª¿ª¤ªÇª¹ª¬¡¢ù¨ªéªËª³ªìì¤ß¾ãÁÊàªò?ª¨ªëªïª±ªËªÏª¤ª­ªŞª¨ªó¡£,Üô??ú¹îÜãÀ?××ëÚîÜÛö?ÙÍîñ?ÜôÒöèÇîïŞÅéÄØªà´îÜÕôÕá£¬Ó£ÜôÒöî¢?öâ?ÌÚÒıîÜ??Öõ¡£,ú¹ê¡îÜãÀ?×ÃîÜØªÛöŞÔÙúí¤ÙíÛöèÇîï××éÄÑáÍÆÕôÕá£¬ÜôÒöî¢ĞåöâÙúÌÚÒıîÜãÁÊàÖõ¡£,Glucklicherweise sind die Magier von Carleon nicht dazu fahig das volle Potenzial des dunklen Quarzes auszuschopfen. Trotzdem sollten wir ihnen dazu keine Gelegenheit bieten.,"Por suerte, los magos de Carleon no son capaces de usar todo el poder del cuarzo oscuro. Pero no podemos darles mas tiempo.","Felizmente, os magos de Carleon nao sao capazes de usar o poder do Quartzo negro em todo o seu potencial. Mas nao podemos lhes conceder mais tempo.","¬¬ ¬ã¬é¬Ñ¬ã¬ä¬î¬ğ, ¬Ü¬Ñ¬â¬İ¬Ö¬à¬ß¬ã¬Ü¬Ú¬Ö ¬Ş¬Ñ¬Ô¬Ú ¬ß¬Ö ¬ã¬á¬à¬ã¬à¬Ò¬ß¬í ¬á¬à¬İ¬ß¬à¬ã¬ä¬î¬ğ ¬â¬Ñ¬ã¬Ü¬â¬í¬ä¬î ¬á¬à¬ä¬Ö¬ß¬è¬Ú¬Ñ¬İ ¬ä¬Ö¬Ş¬ß¬à¬Ô¬à ¬Ü¬Ó¬Ñ¬â¬è¬Ñ. ¬°¬Õ¬ß¬Ñ¬Ü¬à ¬Ş¬Ö¬Õ¬İ¬Ú¬ä¬î ¬ß¬Ö¬İ¬î¬Ù¬ñ.",Na szcz??cie magowie Carleonu nie s? zdolni skorzysta? z pe©©nego potencja©©u Czarnego Kryszta©©u. Ale nie mo?emy im po?wi?ci? ju? wi?cej czasu.,"Heureusement, les mages de Caerleon ne sont pas encore capables d'exploiter son plein potentiel, mais le temps presse."
